web-scraper-order,web-scraper-start-url,paginator,brand-name
"1647860131-1401","https://www.faire.com/category/Beauty%20&%20Wellness/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Beauty%20&%20Wellness/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=5","SARAMAH"
"1647860116-1386","https://www.faire.com/category/Beauty%20&%20Wellness/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Fat Forest"
"1647860116-1388","https://www.faire.com/category/Beauty%20&%20Wellness/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Yours Naturally"
"1647860123-1392","https://www.faire.com/category/Beauty%20&%20Wellness/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Beauty%20&%20Wellness/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=3","Pyllow Club"
"1647860116-1384","https://www.faire.com/category/Beauty%20&%20Wellness/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Cleo's"
"1647860116-1385","https://www.faire.com/category/Beauty%20&%20Wellness/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","The Laundry Story"
"1647860123-1391","https://www.faire.com/category/Beauty%20&%20Wellness/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Beauty%20&%20Wellness/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=3","Tooday"
"1647860120-1389","https://www.faire.com/category/Beauty%20&%20Wellness/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Beauty%20&%20Wellness/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2","Babongo"
"1647860116-1387","https://www.faire.com/category/Beauty%20&%20Wellness/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Sienna X"
"1647860120-1390","https://www.faire.com/category/Beauty%20&%20Wellness/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Beauty%20&%20Wellness/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2","Happinesz"
"1647860127-1394","https://www.faire.com/category/Beauty%20&%20Wellness/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Beauty%20&%20Wellness/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=4","Lily-Flame"
"1647860127-1393","https://www.faire.com/category/Beauty%20&%20Wellness/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Beauty%20&%20Wellness/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=4","Herbal Cacao"
"1647860131-1400","https://www.faire.com/category/Beauty%20&%20Wellness/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Beauty%20&%20Wellness/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=5","Combray Skincare"
