web-scraper-order,web-scraper-start-url,paginator,brand-name
"1647862808-1448","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","TOET Store"
"1647862808-1457","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","9teas"
"1647862808-1447","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Tooday"
"1647862811-1479","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2","Aroma Club - Coffee Experience"
"1647862811-1482","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2","Dalicious"
"1647862811-1476","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2","Embreze | Reward Your Senses"
"1647862811-1485","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2","PangeaSpecials"
"1647862811-1466","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2","vomFASS"
"1647862808-1463","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","olivery"
"1647862811-1481","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2","Raijmakers Heetmakers"
"1647862811-1478","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2","Cleo's"
"1647862811-1467","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2","Max's Organic Mints"
"1647862808-1453","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","The cocktailspecialist"
"1647862808-1446","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Krak Chocolade"
"1647862808-1444","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Cupplement"
"1647862808-1442","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","YALDA HERBS"
"1647862808-1451","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Flora Tea"
"1647862811-1465","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2","The Predators"
"1647862811-1480","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2","Herbal Cacao"
"1647862808-1461","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","John Altman Popcorn & Nuts"
"1647862811-1471","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2","Candy Freaks"
"1647862811-1475","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2","Peterspecials"
"1647862811-1470","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2","pablo's quinoa revolución"
"1647862811-1474","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2","Vinoos"
"1647862808-1455","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Kumasi Drinks"
"1647862808-1452","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Celebrate What You Eat"
"1647862808-1454","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","The Big Gifts"
"1647862808-1449","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","The High Five Company"
"1647862808-1459","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Bakselz. & Borrelz. B.V."
"1647862808-1462","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Rollin' Rainbows"
"1647862811-1483","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2","Dutch Tea Maestro"
"1647862811-1484","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2","Raw Nutrition Africa"
"1647862811-1472","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2","Heketa"
"1647862808-1456","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","SAPINCA"
"1647862808-1460","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Real Good Food"
"1647862808-1458","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","HUSH HUSH Hot Sauce"
"1647862808-1445","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Moments"
"1647862811-1468","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2","Tyro Cosmetics"
