web-scraper-order,web-scraper-start-url,paginator,brand-name
"1647860162-1427","https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Mies to Go"
"1647860166-1439","https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2","Studio Ins & Outs"
"1647860162-1426","https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","by Xavi"
"1647860162-1421","https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Stitch Amsterdam"
"1647860166-1438","https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2","TOET Store"
"1647860162-1425","https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Tinne+Mia"
"1647860162-1420","https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Het Muizenhuis"
"1647860162-1417","https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Hammam34"
"1647860162-1429","https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Myrthe Oostenbach Art"
"1647860162-1430","https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Opposuits EU"
"1647860162-1432","https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Modestideas"
"1647860162-1418","https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Art Bizniz"
"1647860162-1422","https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Blue Barn Jeans"
"1647860162-1428","https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Studio Anne Bekkenutte"
"1647860162-1416","https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Teddy's"
"1647860162-1423","https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Chewies & more"
"1647860162-1419","https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","3inbalance"
"1647860162-1431","https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","De La Mur Line"
"1647860162-1436","https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Just be kids"
"1647860162-1424","https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Babyzus"
"1647860162-1435","https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Heketa"
"1647860162-1433","https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","HappyBear Diapers"
"1647860162-1434","https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","eatsleepdoodle EU"
"1647860162-1437","https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Kids-ware Lifestyle"
"1647860170-1441","https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=3","ByCristianne"
"1647860170-1440","https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=3","BINK Bedding"
