web-scraper-order,web-scraper-start-url,paginator,brand-name
"1647860130-1395","https://www.faire.com/category/Men/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Valenta Europe B.V."
"1647860142-1407","https://www.faire.com/category/Men/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Men/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=4","Rebel.Care"
"1647860130-1396","https://www.faire.com/category/Men/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Wooden Amsterdam"
"1647860138-1405","https://www.faire.com/category/Men/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Men/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=3","EcuaFina"
"1647860134-1402","https://www.faire.com/category/Men/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Men/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2","1915 watches"
"1647860130-1398","https://www.faire.com/category/Men/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Mycha Ibiza"
"1647860130-1397","https://www.faire.com/category/Men/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","by Xavi"
"1647860134-1403","https://www.faire.com/category/Men/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Men/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2","SOXS.co"
"1647860138-1404","https://www.faire.com/category/Men/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Men/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=3","Miskabags"
"1647860130-1399","https://www.faire.com/category/Men/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Atelier Neutral"
"1647860142-1406","https://www.faire.com/category/Men/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Men/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=4","Zaccini Underwear"
