web-scraper-order,web-scraper-start-url,paginator,brand-name
"1647860058-1353","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2","Kleine Tijntje"
"1647860076-1368","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=6","The Clothed"
"1647860053-1349","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Mutsaers"
"1647860062-1356","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=3","Stitch Amsterdam"
"1647860062-1355","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=3","Ecowings"
"1647860053-1347","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Happy Lona"
"1647860058-1351","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2","Slay All Day"
"1647860058-1354","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2","Waikiki the Label"
"1647860071-1363","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=5","Funky Doris"
"1647860053-1348","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Croon Concepts"
"1647860062-1358","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=3","ISLA IDA"
"1647860076-1369","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=6","Sunday Swim"
"1647860076-1370","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=6","Siempre Studio"
"1647860058-1352","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2","Stalwart Crafts"
"1647860067-1362","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=4","MILENKA Lingerie"
"1647860053-1350","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","Teddy's"
"1647860067-1360","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=4","Aphellos"
"1647860071-1364","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=5","&Co Woman"
"1647860062-1357","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=3","CO88 Collection"
"1647860067-1361","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=4","EIJK"
"1647860053-1346","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","","KRAEK Watches"
"1647860071-1366","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=5","Blue Barn Jeans"
"1647860071-1365","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=5","PAU"
"1647860076-1367","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=6","QuicheLynn"
"1647860067-1359","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld","https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=4","Aveau"
