web-scraper-order,web-scraper-start-url,link,link-href,brand-name
"1647878040-2325","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/i-juf-you","TWO YOU LABEL"
"1647877919-2272","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/siennax","SiennaX"
"1647877158-1943","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/your-belt","Your Belt"
"1647877431-2059","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/concave-bv","DillySocks"
"1647876994-1871","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/crafters-by-kikkerland","Crafters - by Kikkerland"
"1647877715-2184","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/boho-cosmetics","Boho Cosmetics"
"1647877042-1892","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/sprelink","Sprelink"
"1647877643-2152","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/jacky-j-living","Goedkope Amberblokjes"
"1647877579-2125","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/van-kira","van Kira"
"1647877679-2168","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/paper24","Paper24"
"1647876972-1861","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/omaybags","Omaybags"
"1647877841-2239","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/label-my-light","Label my Light"
"1647878035-2323","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/cotton-art","Cotton Art"
"1647877176-1951","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/stickerheld","Stickerheld"
"1647877992-2304","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/karitree","Karitree - Luxury that doesn't cost the earth"
"1647877677-2167","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/anne-adriana","Anne Adriana"
"1647878007-2311","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/aqua-licious","Aqua licious"
"1647877245-1981","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/jozemiek","Jozemiek"
"1647877850-2243","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/huupieshop","Huupieshop"
"1647877843-2240","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/bybean","byBean"
"1647877845-2241","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/lantara","LANTARA"
"1647877101-1918","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/mable","Mable"
"1647876939-1847","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/happy-soaps","HappySoaps"
"1647877074-1906","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/julias-delicious-world-bv","Julia's Delicious World"
"1647877922-2273","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/lief-label","Lief Label"
"1647877127-1929","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/studio-paper","Studio Paper"
"1647877894-2261","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/primal-essence","Primal Essence"
"1647877804-2223","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/wander-by-elise","Wander by Elise"
"1647877122-1927","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/sphynx-cosmetics-bv","Sphynx Cosmetics B.V."
"1647877008-1877","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/whattheconcept-1781688686477313","whattheconcept"
"1647877249-1983","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/kitchen-trend","Kitchen Trend"
"1647877786-2215","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/mrsbloom","MrsBLOOM"
"1647877978-2298","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/poppiezz","Poppiezz"
"1647877818-2229","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/label2x","Label2X"
"1647877467-2075","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/on-my-mint","ON MY MINT"
"1647877831-2235","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/boutique-ratatouille","Ratatouille - Creative Studio"
"1647877489-2085","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/yetvisser","yetvisser"
"1647877149-1939","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/studio-dennis-parren","Studio Dennis Parren"
"1647877099-1917","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/canndle","Canndle"
"1647877136-1933","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/zaya-jewellery","Zaya Jewellery"
"1647877788-2216","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/liefs-jansje","Liefs Jansje"
"1647877657-2158","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/peek-a-beau","Peek-a-Beau"
"1647877469-2076","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/blue-monday-coffee","Blue Monday Coffee"
"1647877634-2148","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/monsieur-barbier-nl","Monsieur Barbier"
"1647877023-1884","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/opscala","Hills & Field"
"1647877299-2005","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/kruselings","Kruselings"
"1647877399-2045","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/pole-to-pole","Pole To Pole"
"1647876930-1843","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/glossworks","Glossworks"
"1647877188-1956","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/nextpage-edesign","Party-cap.com"
"1647876967-1859","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/mayoneur-bv","MAYONEUR"
"1647877370-2032","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/bunnies-jr","Bunnies jr"
"1647877216-1968","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/puabi","PUABI"
"1647877481-2081","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/to-remember","To Remember"
"1647877010-1878","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/sompex-benelux","Sompex Benelux"
"1647877436-2061","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/curve-and-you","Curve and You"
"1647877892-2260","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/liefs-van-emma","Liefs van Emma"
"1647877427-2057","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/sella-molenaar","Sella Molenaar"
"1647877777-2211","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/saumur-interior-styling","SAUMUR Iabel"
"1647877795-2219","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/beachie","Beachie"
"1647877256-1986","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/joy-kitchen","Joy Kitchen"
"1647877274-1994","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/sprankelz","DayaOliva"
