web-scraper-order,web-scraper-start-url,link,link-href,brand-name
"1647878040-2325","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/i-juf-you","TWO YOU LABEL"
"1647877919-2272","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/siennax","SiennaX"
"1647877158-1943","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/your-belt","Your Belt"
"1647878471-2512","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/homejunky","Home Junky"
"1647877431-2059","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/concave-bv","DillySocks"
"1647878945-2722","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/iittala","Iittala"
"1647876994-1871","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/crafters-by-kikkerland","Crafters - by Kikkerland"
"1647878255-2420","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/paperoni","Paperoni"
"1647878264-2424","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/smokin-flavours","Smokin' Flavours"
"1647878336-2456","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/mrjones-bv","Mr. Jones"
"1647879150-2813","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/ferocescents-1386849519550465","Férocescents"
"1647877715-2184","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/boho-cosmetics","Boho Cosmetics"
"1647878365-2469","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/de-la-mur-line","De La Mur Line"
"1647877042-1892","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/sprelink","Sprelink"
"1647878777-2647","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/kitchen-of-smiles","Kitchen of Smiles"
"1647877643-2152","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/jacky-j-living","Goedkope Amberblokjes"
"1647877579-2125","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/van-kira","van Kira"
"1647877679-2168","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/paper24","Paper24"
"1647876972-1861","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/omaybags","Omaybags"
"1647879109-2795","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/hout-is-prachtig","Hout is Prachtig"
"1647877841-2239","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/label-my-light","Label my Light"
"1647879127-2803","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/amazona","Amazona Krijtverf & Wax"
"1647878847-2678","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/sompex","Sompex / Villeroy & Boch Lights"
"1647879118-2799","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/bracelets-for-men","BRACELETS FOR MEN"
"1647878035-2323","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/cotton-art","Cotton Art"
"1647878550-2547","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/korento","Korento"
"1647877176-1951","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/stickerheld","Stickerheld"
"1647879069-2777","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/the-kugi-company","The KuGi Company"
"1647878104-2353","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/natural-spices","Natural Spices | the natural taste maker since 1935"
"1647878230-2409","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/babongo","Babongo"
"1647878419-2489","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/la-rochere","La Rochère"
"1647878911-2707","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/GLUNDR","GLUNDR"
"1647877992-2304","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/karitree","Karitree - Luxury that doesn't cost the earth"
"1647877677-2167","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/anne-adriana","Anne Adriana"
"1647878007-2311","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/aqua-licious","Aqua licious"
"1647879026-2758","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/studio-stationery","Studio Stationery"
"1647879116-2798","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/de-lingehof","De Lingehof"
"1647877245-1981","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/jozemiek","Jozemiek"
"1647878268-2426","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/kleine-binky","Kleine Binky"
"1647877850-2243","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/huupieshop","Huupieshop"
"1647878974-2735","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/joyin","JOYIN"
"1647877843-2240","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/bybean","byBean"
"1647878242-2414","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/timbelt","Timbelt B.V."
"1647878976-2736","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/sproetiz","Sproetiz"
"1647877845-2241","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/lantara","LANTARA"
"1647877101-1918","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/mable","Mable"
"1647878483-2517","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/anas-company-bv","ANAS | Crystal-Infused Skincare"
"1647876939-1847","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/happy-soaps","HappySoaps"
"1647877074-1906","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/julias-delicious-world-bv","Julia's Delicious World"
"1647877922-2273","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/lief-label","Lief Label"
"1647877127-1929","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/studio-paper","Studio Paper"
"1647878138-2368","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/royal-boch","Royal Boch"
"1647878932-2716","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/kleine-tijntje","BOHO PANNA -  KLEINE TIJNTJE"
"1647877894-2261","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/primal-essence","Primal Essence"
"1647877804-2223","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/wander-by-elise","Wander by Elise"
"1647877122-1927","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/sphynx-cosmetics-bv","Sphynx Cosmetics B.V."
"1647877008-1877","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/whattheconcept-1781688686477313","whattheconcept"
"1647878217-2403","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/beamies","Beamies"
"1647877249-1983","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/kitchen-trend","Kitchen Trend"
"1647878869-2688","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/grannys-finest","Granny's Finest"
