,web-scraper-order,web-scraper-start-url,paginator,brand-name,Website
0,1647863538-1600,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=6,May21,https://en.wikipedia.org/wiki/May_21
1,1647863553-1701,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=10,Afternoon Stories,https://www.instagram.com/afternoon.stories/?hl=en
2,1647863524-1514,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=2,The Very Good Candle Company,https://theverygoodcandlecompany.com/
3,1647863556-1710,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=11,Teddy's,https://www.teddysbb.com/
4,1647863556-1726,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=11,mvdrl,https://mvdrl.com/
5,1647863524-1513,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=2,STOOK porcelain jewelry,https://www.stook-jewelry.com/
6,1647863531-1559,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=4,Youall Honest Body Care,https://www.youall.care/
7,1647863534-1592,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=5,Tyro Cosmetics,https://www.tyro-cosmetics.com/en/
8,1647863542-1627,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=7,Anna Pure,https://www.instagram.com/annapureorganic/?hl=en
9,1647863549-1679,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=9,Silke-Amsterdam,https://www.instagram.com/silke.amsterdam/?hl=en
