,web-scraper-order,web-scraper-start-url,link,link-href,brand-name,Website
0,1647878040-2325,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/i-juf-you,TWO YOU LABEL,https://twoyoulabel.nl/
1,1647877919-2272,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/siennax,SiennaX,https://sienna-x.co.uk/
2,1647877158-1943,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/your-belt,Your Belt,https://www.collinsdictionary.com/us/dictionary/english/under-your-belt
3,1647878471-2512,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/homejunky,Home Junky,https://www.facebook.com/SocialJunkieHome/
4,1647877431-2059,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/concave-bv,DillySocks,https://dillysocks.com/en-ch/
5,1647878945-2722,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/iittala,Iittala,https://www.iittala.com/en-gb
6,1647876994-1871,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/crafters-by-kikkerland,Crafters - by Kikkerland,https://kikkerland.com/collections/hector-serrano-x-kikkerland
7,1647878255-2420,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/paperoni,Paperoni,https://www.amazon.com/Umagine-6012718-Paperoni-Deluxe-Studio/dp/B0021OMLJQ
8,1647878264-2424,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/smokin-flavours,Smokin' Flavours,https://www.smokingflavours.com/en/
9,1647878336-2456,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/mrjones-bv,Mr. Jones,https://www.imdb.com/title/tt6828390/
10,1647879150-2813,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/ferocescents-1386849519550465,Férocescents,https://www.instagram.com/ferocescents/?hl=en
11,1647877715-2184,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/boho-cosmetics,Boho Cosmetics,https://www.bohoskincare.com/
12,1647878365-2469,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/de-la-mur-line,De La Mur Line,https://delamur.com/
13,1647877042-1892,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/sprelink,Sprelink,https://drimble.nl/bedrijf/rosmalen/49155199/sprelink.html
14,1647878777-2647,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/kitchen-of-smiles,Kitchen of Smiles,https://kitchenofsmiles.nl/
15,1647877643-2152,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/jacky-j-living,Goedkope Amberblokjes,https://www.goedkopeamberblokjes.nl/
16,1647877579-2125,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/van-kira,van Kira,https://kiravan.net/
17,1647877679-2168,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/paper24,Paper24,https://paper24.de/home
18,1647876972-1861,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/omaybags,Omaybags,https://www.omaybags.com/
19,1647879109-2795,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/hout-is-prachtig,Hout is Prachtig,https://www.houtisprachtig.nl/
20,1647877841-2239,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/label-my-light,Label my Light,https://labelmylight.com/
21,1647879127-2803,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/amazona,Amazona Krijtverf & Wax,https://www.krijtverf-kalkwas.nl/
22,1647878847-2678,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/sompex,Sompex / Villeroy & Boch Lights,https://shop.sompex.de/en/lighting/villeroy-boch/table-lamps/
23,1647879118-2799,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/bracelets-for-men,BRACELETS FOR MEN,https://www.amazon.com/Mens-Bracelets/b?ie=UTF8&node=3888081
24,1647878035-2323,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/cotton-art,Cotton Art,https://www.etsy.com/market/cotton_art
25,1647878550-2547,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/korento,Korento,https://en.wiktionary.org/wiki/korento
26,1647877176-1951,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/stickerheld,Stickerheld,https://www.stickerheld.nl/
27,1647879069-2777,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/the-kugi-company,The KuGi Company,https://www.thekugicompany.com/
28,1647878104-2353,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/natural-spices,Natural Spices | the natural taste maker since 1935,https://www.naturalspices.com/
29,1647878230-2409,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/babongo,Babongo,https://www.forbesafrica.com/travel/2019/03/25/in-search-of-africas-last-eden/
