,web-scraper-order,web-scraper-start-url,paginator,brand-name,Website
0,1647862808-1448,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,TOET Store,https://ankorstore.com/brand/toet-store-6855
1,1647862808-1457,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,9teas,https://www.facebook.com/9TeasMilktea/
2,1647862808-1447,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,Tooday,https://www.tooday.io/
3,1647862811-1479,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2,Aroma Club - Coffee Experience,https://www.aroma-club.com.tw/index_en.html
4,1647862811-1482,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2,Dalicious,https://www.facebook.com/Daliciousnaperville/
5,1647862811-1476,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2,Embreze | Reward Your Senses,https://www.faire.com/brand/b_ypan4f8dj8
6,1647862811-1485,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2,PangeaSpecials,https://tastepangea.com/
7,1647862811-1466,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2,vomFASS,https://www.vomfassusa.com/
8,1647862808-1463,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,olivery,https://www.olivery.com/en/
9,1647862811-1481,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2,Raijmakers Heetmakers,http://www.raijmakersheetmakers.com/
10,1647862811-1478,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2,Cleo's,https://shop.cleosfurniture.com/
11,1647862811-1467,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2,Max's Organic Mints,https://www.maxsmints.com/en/
12,1647862808-1453,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,The cocktailspecialist,https://www.masterclass.com/articles/whats-the-difference-between-a-mixologist-and-a-bartender
13,1647862808-1446,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,Krak Chocolade,https://krakchocolade.nl/en/
14,1647862808-1444,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,Cupplement,https://www.cupplement.nl/
15,1647862808-1442,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,YALDA HERBS,https://yaldaherbs.com/
16,1647862808-1451,https://www.faire.com/category/Food%20&%20Drink/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,Flora Tea,http://www.floratea.com/
