,web-scraper-order,web-scraper-start-url,paginator,brand-name,Website
0,1647860162-1427,https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,Mies to Go,https://www.miestogo.com/en-us
1,1647860166-1439,https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2,Studio Ins & Outs,https://www.studioinsenouts.nl/
2,1647860162-1426,https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,by Xavi,https://byxavi.com/
3,1647860162-1421,https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,Stitch Amsterdam,https://stitchamsterdam.com/
4,1647860166-1438,https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2,TOET Store,https://ankorstore.com/brand/toet-store-6855
5,1647860162-1425,https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,Tinne+Mia,https://www.tinne-mia.nl/en/
6,1647860162-1420,https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,Het Muizenhuis,https://www.hetmuizenhuis.nl/
7,1647860162-1417,https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,Hammam34,https://hammam34.com/
8,1647860162-1429,https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,Myrthe Oostenbach Art,https://www.instagram.com/myrtheoostenbach.art/?hl=en
9,1647860162-1430,https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,Opposuits EU,https://www.opposuits.eu/
10,1647860162-1432,https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,Modestideas,https://www.modestideas.com/
11,1647860162-1418,https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,Art Bizniz,https://www.artbizniz.nl/en/
12,1647860162-1422,https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,Blue Barn Jeans,https://www.instagram.com/bluebarnjeans/?hl=en
13,1647860162-1428,https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,Studio Anne Bekkenutte,https://www.facebook.com/studioannebekkenutte/photos/?ref=page_internal
14,1647860162-1416,https://www.faire.com/category/Kids%20&%20Baby/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,Teddy's,https://www.teddysbb.com/
