,web-scraper-order,web-scraper-start-url,paginator,brand-name,Website
0,1647860130-1395,https://www.faire.com/category/Men/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,Valenta Europe B.V.,https://www.dnb.com/business-directory/company-profiles.valenta_europe_bv.a6a449588b034aa1345799dea1a17adb.html
1,1647860142-1407,https://www.faire.com/category/Men/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Men/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=4,Rebel.Care,https://rebel.care/
2,1647860130-1396,https://www.faire.com/category/Men/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,Wooden Amsterdam,https://woodenamsterdam.com/
3,1647860138-1405,https://www.faire.com/category/Men/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Men/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=3,EcuaFina,https://www.ecuafina.nl/en/
4,1647860134-1402,https://www.faire.com/category/Men/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Men/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2,1915 watches,https://1915watches.com/
5,1647860130-1398,https://www.faire.com/category/Men/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,Mycha Ibiza,https://www.mycha-ibiza.com/
6,1647860130-1397,https://www.faire.com/category/Men/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,by Xavi,https://byxavi.com/
7,1647860134-1403,https://www.faire.com/category/Men/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Men/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2,SOXS.co,https://soxs.co/
8,1647860138-1404,https://www.faire.com/category/Men/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Men/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=3,Miskabags,https://www.miskabags.com/
9,1647860130-1399,https://www.faire.com/category/Men/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,Atelier Neutral,https://www.atelierneutral.com/
10,1647860142-1406,https://www.faire.com/category/Men/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Men/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=4,Zaccini Underwear,https://zaccini.com/
