,web-scraper-order,web-scraper-start-url,paginator,brand-name,Website
0,1647860058-1353,https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2,Kleine Tijntje,https://kleinetijntje.com/
1,1647860076-1368,https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=6,The Clothed,http://www.wikidata.org/wiki/Q2735507
2,1647860053-1349,https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,Mutsaers,https://www.mutsaers.nl/
3,1647860062-1356,https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=3,Stitch Amsterdam,https://stitchamsterdam.com/
4,1647860062-1355,https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=3,Ecowings,https://www.ecowings.nl/en/
5,1647860053-1347,https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,Happy Lona,https://www.instagram.com/happylonafashion/?hl=en
6,1647860058-1351,https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2,Slay All Day,https://www.youtube.com/watch?v=d_K5kyi4Eys
7,1647860058-1354,https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=2,Waikiki the Label,https://waikikithelabel.com/
8,1647860071-1363,https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=location%3Anld%2Csorting%3Ascore_desc&page=5,Funky Doris,https://funkydoris.no/
9,1647860053-1348,https://www.faire.com/category/Women/subcategory/New%20Arrivals?filters=sorting%3Ascore_desc%2Clocation%3Anld,,Croon Concepts,https://www.croonconcepts.com/
