,Unnamed: 0,websites,Unnamed: 0,handles,Unnamed: 0,followers,Unnamed: 0,crm
0,0,error loading websitis,0,@brandthout_interior,0,error loading followers,0,website could not be loaded
1,1,www.haruco-vert.com,1,@Haruco.vert,1,15.1k followers,1,W
2,2,linktr.ee/kunstinkaart.nl,2,@kunstinkaart.nl,2,17.6k followers,2,S
3,3,joykitchen.shop,3,@joykitchen.shop,3,28 followers,3,W
4,4,error loading websitis,4,@fantt,4,7 followers,4,website could not be loaded
5,5,linktr.ee/earthelementsnl,5,@earthelementsNL,5,"1,381 followers",5,S
6,6,shop.kartent.com/insta,6,@kartent_webshop,6,"6,500 followers",6,U
7,7,peterspecials.nl,7,@peterspecials,7,"1,276 followers",7,U
8,8,www.afroditisart.com,8,@afroditisart,8,"3,554 followers",8,S
9,9,www.textap.nl,9,@textapbedtextiel,9,245 followers,9,W
10,10,linktr.ee/Vinoos,10,@therealwinegum,10,"3,912 followers",10,S
11,11,www.micastricas.com,11,@micastricas,11,"1,422 followers",11,S
12,12,www.cloudberries.co.uk,12,@cloudberriesofficial,12,16.1k followers,12,W
13,13,error loading websitis,13,no handle found,13,error loading followers,13,website could not be loaded
14,14,linkin.bio/undercover_otter,14,@undercover_otter,14,11k followers,14,S
15,15,www.hetmuizenhuis.nl/products/het-muizenhuis-de-haven,15,@hetmuizenhuis,15,19.6k followers,15,S
16,16,error loading websitis,16,@Lorense_brand,16,error loading followers,16,website could not be loaded
17,17,www.rollinrainbows.com,17,@rollinrainbows,17,102 followers,17,S
18,18,error loading websitis,18,@www.instagram.com,18,error loading followers,18,website could not be loaded
19,19,katskalma.com,19,@katskalma,19,783 followers,19,U
20,20,error loading websitis,20,no handle found,20,error loading followers,20,website could not be loaded
21,21,www.sunny-lifestyle.nl,21,@sunny.lifestyle,21,"9,841 followers",21,U
22,22,www.botaniqe.com,22,@Hello.botaniqe,22,706 followers,22,S
23,23,www.thehouseofopulence.com,23,@thehouseofopulence,23,548 followers,23,W
24,24,linktr.ee/studiotekstentekening,24,@studiotekstentekening,24,437 followers,24,S
25,25,vsco.co/aizu-dean,25,@surajee,25,367 followers,25,U
26,26,www.sallyjanebridal.com,26,@sallyjanebridal,26,"3,476 followers",26,W
27,27,etsy.com/shop/lutumcreation,27,@lutumcreations,27,620 followers,27,U
28,28,error loading websitis,28,no handle found,28,error loading followers,28,website could not be loaded
29,29,error loading websitis,29,no handle found,29,error loading followers,29,website could not be loaded
30,30,www.hairdicted.nl,30,@hairdicted.nl,30,648 followers,30,U
31,31,www.cicidejewelry.nl,31,@cicidejewelryams,31,436 followers,31,S
