,web-scraper-order,web-scraper-start-url,Paginator,productPage,productPage-href,instagramHandles
0,1648112832-119,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=7,Brandthout.,https://www.faire.com/brand/b_xdcszzp8uv?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@brandthout_interior
1,1648112847-163,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=10,Haruco-vert,https://www.faire.com/brand/b_kk7ubjrfck?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@Haruco.vert
2,1648112808-35,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=2,Art in Maps,https://www.faire.com/brand/b_da0w6wk5qf?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@kunstinkaart.nl
3,1648112847-171,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=10,Joy Kitchen,https://www.faire.com/brand/b_t9kq92cw4x?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@joykitchen.shop
4,1648112856-207,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=12,Fantt cuttingboard,https://www.faire.com/brand/b_k8gydaqjn9?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@fantt
5,1648112813-48,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=3,Earth Elements,https://www.faire.com/brand/b_5s5628td3g?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@earthelementsNL
6,1648112851-184,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=11,KarTent,https://www.faire.com/brand/b_76ftpsc6h3?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@kartent_webshop
7,1648112842-151,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=9,Peterspecials,https://www.faire.com/brand/b_9u824pvrtb?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@peterspecials
8,1648112837-143,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=8,Afroditi's Art,https://www.faire.com/brand/b_hdxuycnaq3?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@afroditisart
9,1648112851-188,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc,https://www.faire.com/category/All%20Products?filters=maker_value%3Amade_in_netherlands%2Csorting%3Ascore_desc&page=11,TEXTAP B.V.,https://www.faire.com/brand/b_5jfymhr3zx?refC=All%20Products&refF=maker_value%3Amade_in_netherlands&sortingHint=true,@textapbedtextiel
