,Unnamed: 0,brandName,instagramLinks,instagramFollowers,facebookLinks,facebookFollowers,web-scraper-order,web-scraper-start-url,link,link-href,Unnamed: 0,websites,Unnamed: 0,crm
0,0,MAYVES,x,x,x,x,1648216253-1822,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/mayves,0,error loading websitis,0,website could not be loaded
1,1,LAGARDZ fragrances,https://instagram.com/lagardzfragrances,6.5 K,https://facebook.com/lagardzfragrances,11,1648216253-1454,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/lagardz,1,www.lagardz.com,1,U
2,2,Het Muizenhuis,https://instagram.com/hetmuizenhuis,19.6 K,x,x,1648216253-1892,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/studio-schaapman,2,www.hetmuizenhuis.nl/products/het-muizenhuis-de-haven,2,S
3,3,Lily Kids Organics,x,x,x,x,1648216253-625,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/lily-kids,3,error loading websitis,3,website could not be loaded
4,4,Bohemian Deco Limited,https://instagram.com/Deco_bohemian,44,x,x,1648216253-1643,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/bohemian-deco-limited,4,www.bohemiandeco.com,4,W
5,5,R Rebels Kids Clothing,https://instagram.com/rrebelskidsclothing,16.9 K,x,x,1648216253-1712,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/r-rebels,5,www.r-rebels.nl,5,U
6,6,Dear Maya,https://instagram.com/dearmayacom,3.0 K,x,x,1648216253-901,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/dearmaya,6,www.dearmaya.com,6,W
7,7,HAPPY TABS,https://instagram.com/?hl=en,,x,x,1648216253-1096,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/happy-tabs,7,error loading websitis,7,website could not be loaded
8,8,La Suerte,x,x,https://facebook.com/LaSuerte1408,449,1648216253-755,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/la-suerte,8,error loading websitis,8,website could not be loaded
9,9,Lanco,https://instagram.com/kleinegiraf,6.3 K,https://facebook.com/KleineGirafDistributeur,5.5 K,1648216253-863,https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL,,https://www.orderchamp.com/nl/store/lanco,9,www.kleinegiraf.nl,9,U
