,brandName,instagramLinks,instagramFollowers,facebookLinks,facebookFollowers
0,MAYVES,x,x,x,x
1,LAGARDZ fragrances,https://instagram.com/lagardzfragrances,6.5 K,https://facebook.com/lagardzfragrances,11
2,Het Muizenhuis,https://instagram.com/hetmuizenhuis,19.6 K,x,x
3,Lily Kids Organics,x,x,x,x
4,Bohemian Deco Limited,https://instagram.com/Deco_bohemian,44,x,x
5,R Rebels Kids Clothing,https://instagram.com/rrebelskidsclothing,16.9 K,x,x
6,Dear Maya,https://instagram.com/dearmayacom,3.0 K,x,x
7,HAPPY TABS,https://instagram.com/?hl=en,,x,x
8,La Suerte,x,x,https://facebook.com/LaSuerte1408,449
9,Lanco,https://instagram.com/kleinegiraf,6.3 K,https://facebook.com/KleineGirafDistributeur,5.5 K
10,Fortuna Beads,https://instagram.com/fortuna_beads,1.2 K,https://facebook.com/fortunabeads,116
11,Dutch Design Brand B.V.,"https://instagram.com/dutchdesignbrand,com",,https://facebook.com/dutchdesignbrand,1.6 K
12,LM Baby Art,https://instagram.com/lmbabyart.nl,1.4 K,x,x
13,Kiddi,https://instagram.com/kiddi_shop.nl,192,https://facebook.com/kiddishopnl,131
14,Fairytabs,https://instagram.com/fairytabs,4.9 K,https://facebook.com/Fairytabs,749
15,Dear Maya,https://instagram.com/dearmayacom,3.0 K,x,x
16,Plant-je Rouw,https://instagram.com/plantjerouw,516,x,x
17,By Lout,https://instagram.com/by_lout,946,https://facebook.com/bylout,512
18,La Croa,https://instagram.com/lacroa_haircare,5.6 K,x,x
19,Essentialistics,https://instagram.com/essentialistics,1.5 K,https://facebook.com/essentialistics,25.1 K
20,Teddy's,https://instagram.com/teddysoriginal,1.2 K,https://facebook.com/TeddysOriginals,326
21,Easy Living,x,x,x,x
22,UC Natural,x,x,x,x
23,Het Lichtlab,https://instagram.com/hetlichtlab,2.7 K,x,x
24,Studio Ins & Outs Stationery,https://instagram.com/studioinsenouts_stationery,435,https://facebook.com/studioinsenoutsstationery,4
25,STUDIO ÉTOILE,x,x,x,x
26,amey Amsterdam,https://instagram.com/ameyamsterdam,730,x,x
