web-scraper-order,web-scraper-start-url,link,link-href
"1648216253-1822","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/mayves"
"1648216253-1454","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/lagardz"
"1648216253-1892","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/studio-schaapman"
"1648216253-625","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/lily-kids"
"1648216253-1643","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/bohemian-deco-limited"
"1648216253-1712","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/r-rebels"
"1648216253-901","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/dearmaya"
"1648216253-1096","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/happy-tabs"
"1648216253-755","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/la-suerte"
"1648216253-863","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/lanco"
"1648216253-1577","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/fortuna-beads"
"1648216253-1840","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/dutch-design-brand-bv"
"1648216253-1053","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/lm-baby-art"
"1648216253-1593","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/kiddi"
"1648216253-1148","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/fairytabs-1420612578344961"
"1648216253-1505","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/dearmaya"
"1648216253-1580","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/plant-je-rouw"
"1648216253-1443","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/by-lout"
"1648216253-680","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/la-croa"
"1648216253-1756","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/essentialistics"
"1648216253-624","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/teddys"
"1648216253-984","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/easy-living"
"1648216253-1417","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/uc-natural"
"1648216253-428","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/het-lichtlab"
"1648216253-1763","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/studio-ins-outs-stationery"
"1648216253-810","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/etoile-maastricht"
"1648216253-1358","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/amey-amsterdam"
"1648216253-1256","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/by-lindsay-babyfashion"
"1648216253-1093","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/studio-amber-isabel"
"1648216253-1467","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/kywie"
"1648216253-1063","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/annet-weelink-design"
"1648216253-640","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/blossom-lane"
"1648216253-659","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/Philley"
"1648216253-1128","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/beewise"
"1648216253-1210","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/ao-originals"
"1648216253-1601","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/sometea"
"1648216253-585","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/cw-jewellery"
"1648216253-974","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/lesprit-du-sud"
"1648216253-1357","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/pikaplant-nl"
"1648216253-506","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/la-maddalena"
"1648216253-1922","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/engel-celebrate-life"
"1648216253-1067","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/biobuddi"
"1648216253-835","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/lv-factory"
"1648216253-849","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/limo-products"
"1648216253-665","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/gezinnig"
"1648216253-733","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/liefde-op-papier"
"1648216253-551","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/primal-essence"
"1648216253-433","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/doendoe-bv-doenya"
"1648216253-484","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/kepri-cotton-bv"
"1648216253-1469","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/studio-proud"
"1648216253-1736","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/masa-skincare"
"1648216253-1963","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/sompex"
"1648216253-900","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/studio-liefs-linne"
"1648216253-1806","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/lesprit-du-sud"
"1648216253-630","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/planningwize"
"1648216253-818","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/of-the-islands"
"1648216253-1282","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/danibelle"
"1648216253-921","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/natural-temptation"
"1648216253-528","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/miss-honeybird"
"1648216253-971","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/about-coffee-and-tea"
"1648216253-1965","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/swiss-pro-holding-bv"
"1648216253-969","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/by-javy"
"1648216253-1818","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/kidooz"
"1648216253-1679","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/saramah-bv"
"1648216253-1496","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/thalien"
"1648216253-1974","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/twentse-damast"
"1648216253-615","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/kind-rebel"
"1648216253-492","https://www.orderchamp.com/nl/marketplace?sort=popularity&country=NL","","https://www.orderchamp.com/nl/store/treatments"
